method	method_key	configuration_id	configuration_label	is_primary	source_file	metric	perplexity	n_neighbors	min_dist	pre_pca_components	k	silhouette	calinski_harabasz	davies_bouldin	inertia	min_cluster_size	max_cluster_size	cluster_size_ratio
PCA	pca	pca__primary	primary	True	analysis/pca/pca_scores.tsv.gz						2	0.39062140792779665	352.64315929977755	0.9535875357374693	433477.88132193335	168	244	0.6885245901639344
PCA	pca	pca__primary	primary	True	analysis/pca/pca_scores.tsv.gz						3	0.3573855187328852	331.65985598757055	0.9905831920467477	307541.32627152844	131	149	0.8791946308724832
PCA	pca	pca__primary	primary	True	analysis/pca/pca_scores.tsv.gz						4	0.36644572715788876	355.78500669419515	0.8555750364669585	222981.11806304654	91	118	0.7711864406779662
PCA	pca	pca__primary	primary	True	analysis/pca/pca_scores.tsv.gz						5	0.35566413116476103	359.95129719864275	0.8596849240334006	177696.0555553498	63	106	0.5943396226415094
PCA	pca	pca__primary	primary	True	analysis/pca/pca_scores.tsv.gz						6	0.3531732124070732	358.6502388452347	0.8813699497703035	148852.3383765352	48	89	0.5393258426966292
PCA	pca	pca__primary	primary	True	analysis/pca/pca_scores.tsv.gz						7	0.3632575138471199	358.73818071880015	0.788817764528485	127689.70621748707	43	75	0.5733333333333334
PCA	pca	pca__primary	primary	True	analysis/pca/pca_scores.tsv.gz						8	0.3453508101275114	352.54796652993235	0.8517624736146556	113429.55535532937	34	78	0.4358974358974359
PCA	pca	pca__primary	primary	True	analysis/pca/pca_scores.tsv.gz						9	0.3427207821015983	353.47552652954425	0.8909849893250394	100577.04463714396	30	73	0.410958904109589
PCA	pca	pca__primary	primary	True	analysis/pca/pca_scores.tsv.gz						10	0.35629290084913695	358.2806344301267	0.8514242395364222	89379.87785270414	29	67	0.43283582089552236
MDS	mds	mds__primary	primary	True	analysis/mds/mds_scores.tsv.gz						2	0.32725364870421625	218.21764105329927	1.2318418985315016	1863719.488713738	204	208	0.9807692307692307
MDS	mds	mds__primary	primary	True	analysis/mds/mds_scores.tsv.gz						3	0.3546605667820452	286.33831812433965	0.8922436386531968	1189766.3197410158	133	142	0.9366197183098591
MDS	mds	mds__primary	primary	True	analysis/mds/mds_scores.tsv.gz						4	0.3399186407160989	307.50423271136816	0.8688951980279098	875685.093588203	98	110	0.8909090909090909
MDS	mds	mds__primary	primary	True	analysis/mds/mds_scores.tsv.gz						5	0.3194224468531285	295.8531988492323	0.9182098997001547	730787.9299325615	63	96	0.65625
MDS	mds	mds__primary	primary	True	analysis/mds/mds_scores.tsv.gz						6	0.3427317372734901	303.64308481514905	0.8240448624776439	602530.6719198539	60	74	0.8108108108108109
MDS	mds	mds__primary	primary	True	analysis/mds/mds_scores.tsv.gz						7	0.3452441942754215	312.5457537320443	0.8015064870828296	507194.6991163526	49	78	0.6282051282051282
MDS	mds	mds__primary	primary	True	analysis/mds/mds_scores.tsv.gz						8	0.3241160278978047	305.2955322259754	0.8574597965023907	454016.6413341675	43	73	0.589041095890411
MDS	mds	mds__primary	primary	True	analysis/mds/mds_scores.tsv.gz						9	0.33753394436469397	302.0343533317587	0.8200619420728933	408201.36270797456	30	60	0.5
MDS	mds	mds__primary	primary	True	analysis/mds/mds_scores.tsv.gz						10	0.33683455555850905	303.73331988690126	0.8324203589071557	366110.53970370244	29	54	0.5370370370370371
t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	5.0				2	0.3643429173170179	258.61681561627586	1.1444296394218278	312682.89189223136	194	218	0.8899082568807339
t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	5.0				3	0.4017135318088847	352.3903148444222	0.8255554245744742	187249.7322946888	128	145	0.8827586206896552
t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	5.0				4	0.4151104221235086	401.6410951262469	0.8139665249726402	128986.42601279553	95	115	0.8260869565217391
t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	5.0				5	0.41858752225494134	410.724547715289	0.7883739347298037	101241.75737537921	63	95	0.6631578947368421
t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	5.0				6	0.4162031081814832	427.9895170557765	0.7731140363889982	81315.6491319873	56	82	0.6829268292682927
t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	5.0				7	0.4132499830516324	434.9915729041021	0.8044649818529449	68497.15728531373	36	75	0.48
t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	5.0				8	0.40285612783071545	437.5395614098682	0.8172771259335472	59422.7881572685	38	68	0.5588235294117647
t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	5.0				9	0.4055629894232553	442.2962357557304	0.8170634243017606	52138.12514507543	34	59	0.576271186440678
t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	5.0				10	0.41520584982866704	453.2026874161326	0.7724320702736037	45747.32528842255	27	59	0.4576271186440678
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				2	0.4315704476833474	435.90865319558776	0.8877098418320724	89276.13382207682	206	206	1.0
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				3	0.37687474115331987	374.2607553237478	0.9574362894875783	65083.248683002676	116	151	0.7682119205298014
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				4	0.39574092048944587	409.40050266633284	0.8067883898036561	45930.202469227675	95	122	0.7786885245901639
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				5	0.3865286115911741	415.50035345492154	0.8494739335777537	36233.35984768779	65	106	0.6132075471698113
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				6	0.3934097242783819	416.59501836884397	0.8403724936986916	30045.571450996984	49	86	0.5697674418604651
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				7	0.3928824685304962	426.4847320259686	0.7816671424753069	25168.957775024734	41	82	0.5
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				8	0.4166153437171691	451.09744359135794	0.7644342457098723	20893.01885569324	22	74	0.2972972972972973
