method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	silhouette	calinski_harabasz	davies_bouldin	inertia
MDS	mds	mds__primary	primary	True	3						0.3546605667820452	286.33831812433965	0.8922436386531968	1189766.3197410158
PCA	pca	pca__primary	primary	True	2						0.3906214079277966	352.64315929977755	0.9535875357374692	433477.88132193335
t-SNE	tsne	tsne__primary	primary	True	3						0.3980867502579753	356.0976704817963	0.8639618208217336	19276.506622644712
t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				0.4539074993474108	489.3397062628478	0.8485667232904184	110166.61575708583
t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				0.4649136734733031	568.6266099089768	0.728364526032226	15589.75761605728
t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				0.4469501513475677	469.3403680145939	0.7279370161945468	73887.0612800433
t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				0.4526422943223297	495.1820066420019	0.756874297386326	8023.962689557924
t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	2	cosine	15.0				0.4755141067430599	509.123757683814	0.8211487952913272	87805.10075557735
t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	3	cosine	30.0				0.4765483862706335	520.4308649563417	0.7657436071793006	19269.18934284663
t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	3	cosine	5.0				0.4612390215775908	407.9634687199965	0.7286149305629666	191183.66162875528
t-SNE	tsne	tsne__metric-cosine__perplexity-50	metric=cosine, perplexity=50	False	3	cosine	50.0				0.4943236029013788	567.7473335513115	0.7139783036836332	6707.013183373456
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	2	euclidean	15.0				0.4315704476833474	435.90865319558776	0.8877098418320724	89276.13382207682
t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	3	euclidean	30.0				0.3980867502579753	356.0976704817963	0.8639618208217336	19276.506622644712
t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	5	euclidean	5.0				0.4185875222549413	410.724547715289	0.7883739347298037	101241.7573753792
t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	2	euclidean	50.0				0.4304995587579204	420.2286189322359	0.9081084400919714	9889.764657095064
UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		0.4345103321449337	474.3272630545646	0.74826196338767	192.98202598301063
UMAP	umap	umap__metric-canberra__nn-15__mindist-0	metric=canberra, n_neighbors=15, min_dist=0	False	2	canberra		15.0	0.0		0.5476435185941734	747.1440277219132	0.6713255856179635	988.748237546726
UMAP	umap	umap__metric-canberra__nn-15__mindist-0p1	metric=canberra, n_neighbors=15, min_dist=0.1	False	2	canberra		15.0	0.1		0.524226952171244	681.8000517082626	0.7026653439134056	1198.771399701721
UMAP	umap	umap__metric-canberra__nn-15__mindist-0p5	metric=canberra, n_neighbors=15, min_dist=0.5	False	2	canberra		15.0	0.5		0.4580918681412188	476.0945904050482	0.8454990521542192	1971.005974748868
UMAP	umap	umap__metric-canberra__nn-15__mindist-1	metric=canberra, n_neighbors=15, min_dist=1	False	2	canberra		15.0	1.0		0.4507094268946117	462.2286374638153	0.857450716151632	3405.2177658492355
UMAP	umap	umap__metric-canberra__nn-30__mindist-0	metric=canberra, n_neighbors=30, min_dist=0	False	2	canberra		30.0	0.0		0.577806354706945	910.206227729794	0.6102834706992579	824.2992656824865
UMAP	umap	umap__metric-canberra__nn-30__mindist-0p1	metric=canberra, n_neighbors=30, min_dist=0.1	False	2	canberra		30.0	0.1		0.5494337225689435	780.6166108422735	0.6579014233125019	901.4958564938958
UMAP	umap	umap__metric-canberra__nn-30__mindist-0p5	metric=canberra, n_neighbors=30, min_dist=0.5	False	2	canberra		30.0	0.5		0.4874886544472093	568.2467793991971	0.7783135785683901	1653.1751191620565
UMAP	umap	umap__metric-canberra__nn-30__mindist-1	metric=canberra, n_neighbors=30, min_dist=1	False	2	canberra		30.0	1.0		0.4701596847215131	521.5933710696635	0.8077092767199151	2873.828179841536
UMAP	umap	umap__metric-canberra__nn-50__mindist-0	metric=canberra, n_neighbors=50, min_dist=0	False	2	canberra		50.0	0.0		0.6104712244697201	1058.2366479396314	0.5389264446959878	757.7084307220707
UMAP	umap	umap__metric-canberra__nn-50__mindist-0p1	metric=canberra, n_neighbors=50, min_dist=0.1	False	2	canberra		50.0	0.1		0.5755972560413841	895.1832008670332	0.6074639486223169	878.3964522134138
UMAP	umap	umap__metric-canberra__nn-50__mindist-0p5	metric=canberra, n_neighbors=50, min_dist=0.5	False	2	canberra		50.0	0.5		0.5089617133253855	628.9939875334504	0.7291134522459379	1599.5493730315718
UMAP	umap	umap__metric-canberra__nn-50__mindist-1	metric=canberra, n_neighbors=50, min_dist=1	False	2	canberra		50.0	1.0		0.4706573274707409	512.303682569753	0.8129316174780613	2678.294336491199
UMAP	umap	umap__metric-canberra__nn-5__mindist-0	metric=canberra, n_neighbors=5, min_dist=0	False	2	canberra		5.0	0.0		0.6325737826109075	1082.2934374244617	0.5517824181069471	1742.9483290427802
UMAP	umap	umap__metric-canberra__nn-5__mindist-0p1	metric=canberra, n_neighbors=5, min_dist=0.1	False	2	canberra		5.0	0.1		0.5876330834415922	887.1134120392195	0.5919131715869952	1759.5564263979138
UMAP	umap	umap__metric-canberra__nn-5__mindist-0p5	metric=canberra, n_neighbors=5, min_dist=0.5	False	2	canberra		5.0	0.5		0.4715202656480646	485.46450177101366	0.8209425547284535	2795.2116557430445
UMAP	umap	umap__metric-canberra__nn-5__mindist-1	metric=canberra, n_neighbors=5, min_dist=1	False	2	canberra		5.0	1.0		0.4341252574556918	401.96620619672143	0.9083215771979296	4862.21183828522
