test_id	method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	analysis_scope	variable	status	n	n_clusters	test	statistic	p_value	epsilon_squared	q_value	q_value_family	q_value_scope	q_value_family_scope
continuous::mds__primary::age_at_initial_pathologic_diagnosis	MDS	mds	mds__primary	primary	True	3						primary	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	0.8624648446416151	0.6497078866098831	0.0	0.6919515723452462	0.6497078866098831	0.6497078866098831	0.6497078866098831
continuous::pca__primary::age_at_initial_pathologic_diagnosis	PCA	pca	pca__primary	primary	True	2						primary	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	6.44784349631511	0.011108709921859994	0.013451465423000271	0.02621911650145053	0.024994597324184988	0.024068871497363323	0.01481161322914666
continuous::tsne__primary::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__primary	primary	True	3						primary	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	14.933922434715067	0.0005716628191770473	0.03201465949186898	0.003468087769674087	0.005713134558058081	0.002972646659720646	0.0011433256383540946
continuous::tsne__metric-correlation__perplexity-15::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	3.800540226786281	0.0512360495104299	0.006914914140213039	0.0764341066467069	0.06571985900529943	0.07586496134073308	0.06547571228153776
continuous::tsne__metric-correlation__perplexity-30::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	4	kruskal_wallis	7.634253757414649	0.05420741004811446	0.011499388976215011	0.08013694734549773	0.06696209476531786	0.07949729160019846	0.06662994151747402
continuous::tsne__metric-correlation__perplexity-5::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	7	correlation	5.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	7	kruskal_wallis	19.639384487488183	0.0032096357101479727	0.034098461218720455	0.012226472774935767	0.013550921503573657	0.012370806983334147	0.014642937155876298
continuous::tsne__metric-correlation__perplexity-50::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	3	correlation	50.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	14.223752434605004	0.0008153637565010678	0.030256812956943078	0.004486152639548963	0.005713134558058081	0.004503570612569936	0.006879080386233199
continuous::tsne__metric-cosine__perplexity-15::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	2	cosine	15.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	3.7706737811910926	0.05215861825817415	0.0068411698301014635	0.07766892427899023	0.06571985900529943	0.07708219692489321	0.06547571228153776
continuous::tsne__metric-cosine__perplexity-30::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	3	cosine	30.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	6.303302396219818	0.04278142790121423	0.010651738604504501	0.0667390275258942	0.059893999061699926	0.06628960646511377	0.060097720146943805
continuous::tsne__metric-cosine__perplexity-5::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	3	cosine	5.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	2.0309697075643474	0.36222676023419315	7.66576919909588e-05	0.4045325804823798	0.3680691273347446	0.4030063936132951	0.36222676023419315
continuous::tsne__metric-cosine__perplexity-50::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-cosine__perplexity-50	metric=cosine, perplexity=50	False	3	cosine	50.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	2.795637067290142	0.24713549410082153	0.0019693986814112428	0.2869406288713929	0.2594922688058626	0.2848616462893608	0.2558069149464644
continuous::tsne__metric-euclidean__perplexity-15::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	2	euclidean	15.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	7.502322567074517	0.00616194766360799	0.016055117449566707	0.01822969997522748	0.01966546441275651	0.018227524333745772	0.020091123815630028
continuous::tsne__metric-euclidean__perplexity-30::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	3	euclidean	30.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	3	kruskal_wallis	14.933922434715067	0.0005716628191770473	0.03201465949186898	0.003468087769674087	0.005713134558058081	0.003507723058470362	0.006879080386233199
continuous::tsne__metric-euclidean__perplexity-5::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	5	euclidean	5.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	5	kruskal_wallis	15.850544123893483	0.003226409881803252	0.029478965482322098	0.01223347080183733	0.013550921503573657	0.01237328189671547	0.014642937155876298
continuous::tsne__metric-euclidean__perplexity-50::age_at_initial_pathologic_diagnosis	t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	2	euclidean	50.0				sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	6.182701833551737	0.012900514185436756	0.01279679465074503	0.029026156917232704	0.026400518134294254	0.029187889027227118	0.027373326342190585
continuous::umap__metric-euclidean__nn-15__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	age_at_initial_pathologic_diagnosis	ok	407	9	kruskal_wallis	30.905527874180184	0.0001460477080536794	0.057551577573317046	0.0014753805995557645	0.0046005028036909005	0.0012573756303270506	0.0005841908322147176
continuous::umap__metric-canberra__nn-15__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-15__mindist-0	metric=canberra, n_neighbors=15, min_dist=0	False	2	canberra		15.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	7.4884714451102905	0.006209524336173983	0.01602091714842047	0.01822969997522748	0.01966546441275651	0.018227524333745772	0.020091123815630028
continuous::umap__metric-canberra__nn-15__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-15__mindist-0p1	metric=canberra, n_neighbors=15, min_dist=0.1	False	2	canberra		15.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	4.879441392780236	0.027178413466283472	0.009578867636494409	0.04957487890620526	0.04425323591576003	0.04951506681387036	0.04489713220553961
continuous::umap__metric-canberra__nn-15__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-15__mindist-0p5	metric=canberra, n_neighbors=15, min_dist=0.5	False	2	canberra		15.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	4.865751783280279	0.02739486032880383	0.009545066131556245	0.04974809447736217	0.04425323591576003	0.04967342286570341	0.04489713220553961
