test_id	method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	analysis_scope	variable	status	n	n_clusters	n_categories	test	statistic	chi_square_statistic	degrees_of_freedom	p_value	cramers_v	fisher_odds_ratio	min_expected_count	cells_expected_lt5	fraction_cells_expected_lt5	family	effect_size	effect_size_name	epsilon_squared	q_value	q_value_family	q_value_scope	q_value_family_scope
categorical::mds__primary::center_code	MDS	mds	mds__primary	primary	True	3						primary	center_code	ok	412	3	2.0	chi_square	1.2625955512467502	1.2625955512467502	2.0	0.5319010646576852	0.0		62.949029126213595	0.0	0.0	categorical	0.0	cramers_v		0.5800625458783544	0.5836243902484906	0.576226153379159	0.5673611356348641
categorical::mds__primary::gender	MDS	mds	mds__primary	primary	True	3						primary	gender	ok	412	3	2.0	chi_square	2.2527679086245844	2.2527679086245844	2.0	0.32420347394100507	0.024559535694706657		47.45388349514563	0.0	0.0	categorical	0.024559535694706657	cramers_v		0.36674398502442423	0.36967997933544466	0.39206001499842474	0.38904416872920605
categorical::mds__primary::race	MDS	mds	mds__primary	primary	True	3						primary	race	ok	358	3	4.0	permutation_chi_square_5000	4.838573584013446	4.838573584013446	6.0	0.6080783843231353	0.0		0.31564245810055863	6.0	0.5	categorical	0.0	cramers_v		0.6521611158117882	0.655162514766872	0.6324015196960607	0.6210162222874573
categorical::mds__primary::ajcc_pathologic_tumor_stage	MDS	mds	mds__primary	primary	True	3						primary	ajcc_pathologic_tumor_stage	ok	388	3	11.0	permutation_chi_square_5000	21.141436429081082	21.141436429081082	20.0	0.3887222555488902	0.03757154544456817		0.6288659793814433	6.0	0.18181818181818182	categorical	0.03757154544456817	cramers_v		0.4313868933530367	0.4347248893416583	0.43942515844657154	0.43392251782201696
categorical::mds__primary::histological_type	MDS	mds	mds__primary	primary	True	3						primary	histological_type	ok	410	3	7.0	permutation_chi_square_5000	14.949658121425626	14.949658121425626	12.0	0.2529494101179764	0.05982360989227064		2.2536585365853656	6.0	0.2857142857142857	categorical	0.05982360989227064	cramers_v		0.2921940294592703	0.2946529338200156	0.32081388600328714	0.31951504435954914
categorical::mds__primary::histological_grade	MDS	mds	mds__primary	primary	True	3						primary	histological_grade	ok	412	3	4.0	permutation_chi_square_5000	7.88904180995767	7.88904180995767	6.0	0.241751649670066	0.04781143752003263		2.9053398058252426	6.0	0.5	categorical	0.04781143752003263	cramers_v		0.28164239129414514	0.2837954148300775	0.3173721608272876	0.3167123434451103
categorical::mds__primary::tumor_status	MDS	mds	mds__primary	primary	True	3						primary	tumor_status	ok	369	3	2.0	chi_square	1.5395719435444482	1.5395719435444482	2.0	0.46311217678330274	0.0		43.612466124661246	0.0	0.0	categorical	0.0	cramers_v		0.5084301243773793	0.5118608269710188	0.5123794296325903	0.505213283763603
categorical::mds__primary::vital_status	MDS	mds	mds__primary	primary	True	3						primary	vital_status	ok	411	3	2.0	chi_square	3.4333150609392966	3.4333150609392966	2.0	0.17966567244288198	0.05902553208926525		51.065693430656935	0.0	0.0	categorical	0.05902553208926525	cramers_v		0.2163914496040005	0.2180212654363062	0.24585828860604905	0.24639863649309526
categorical::mds__primary::OS	MDS	mds	mds__primary	primary	True	3						primary	OS	ok	412	3	2.0	chi_square	3.465508770908828	3.465508770908828	2.0	0.1767967722491791	0.05961456160821424		51.327669902912625	0.0	0.0	categorical	0.05961456160821424	cramers_v		0.21356424258418538	0.2152308531729137	0.24585828860604905	0.24639863649309526
categorical::mds__primary::DSS	MDS	mds	mds__primary	primary	True	3						primary	DSS	ok	389	3	2.0	chi_square	3.9047533656726436	3.9047533656726436	2.0	0.14193633275054743	0.0699707476583063		31.34190231362468	0.0	0.0	categorical	0.0699707476583063	cramers_v		0.17454332811215967	0.17590797960559648	0.21087683722938477	0.21290449912582116
categorical::mds__primary::DFI	MDS	mds	mds__primary	primary	True	3						primary	DFI	ok	242	3	2.0	chi_square	1.0520432731461153	1.0520432731461153	2.0	0.5909513183818635	0.0		13.148760330578513	0.0	0.0	categorical	0.0	cramers_v		0.6368278023088766	0.6400561557259152	0.6271320113440184	0.6166448539636837
categorical::mds__primary::PFI	MDS	mds	mds__primary	primary	True	3						primary	PFI	ok	412	3	2.0	chi_square	1.8987524274896534	1.8987524274896534	2.0	0.3869823424471542	0.0		42.93446601941748	0.0	0.0	categorical	0.0	cramers_v		0.43003872247519576	0.4334202235408127	0.43942515844657154	0.43392251782201696
categorical::pca__primary::center_code	PCA	pca	pca__primary	primary	True	2						primary	center_code	ok	412	2	2.0	fisher_exact	0.5768353853169175	7.363803922903418	1.0	0.006886360541911124	0.12441012636624758	0.5768353853169175	79.51456310679612	0.0	0.0	categorical	0.12441012636624758	cramers_v		0.019118404351949867	0.01893123116249022	0.018846881483125178	0.019443841530101997
categorical::pca__primary::gender	PCA	pca	pca__primary	primary	True	2						primary	gender	ok	412	2	2.0	fisher_exact	0.8020892687559354	1.1205476484556387	1.0	0.29727960463412606	0.016952435080130245	0.8020892687559354	59.94174757281554	0.0	0.0	categorical	0.016952435080130245	cramers_v		0.3395704270506963	0.34259661753566967	0.36806046288034655	0.3658825903189244
categorical::pca__primary::race	PCA	pca	pca__primary	primary	True	2						primary	race	ok	358	2	4.0	permutation_chi_square_5000	7.831360418851396	7.831360418851396	3.0	0.03199360127974405	0.11623162063744963		0.41899441340782123	2.0	0.25	categorical	0.11623162063744963	cramers_v		0.055280083223861555	0.055859497846389154	0.055455575551556356	0.05687751338621165
