test_id	method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	analysis_scope	variable	status	n	n_clusters	n_categories	test	statistic	chi_square_statistic	degrees_of_freedom	p_value	cramers_v	fisher_odds_ratio	min_expected_count	cells_expected_lt5	fraction_cells_expected_lt5	family	effect_size	effect_size_name	epsilon_squared	q_value	q_value_family	q_value_scope	q_value_family_scope
categorical::tsne__metric-correlation__perplexity-15::center_code	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	center_code	ok	412	2	2.0	fisher_exact	2.505543237250554	20.858924652744694	1.0	5.2473874959504176e-06	0.21980199623391472	2.505543237250554	89.92718446601941	0.0	0.0	categorical	0.21980199623391472	cramers_v		0.00016529270612243815	0.0001525778825745583	0.0001609898483757588	0.00014860601388531582
categorical::tsne__metric-correlation__perplexity-15::gender	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	gender	ok	412	2	2.0	fisher_exact	1.2270531400966183	0.9770611127512789	1.0	0.3537137170147028	0.0	1.2270531400966183	67.79126213592232	0.0	0.0	categorical	0.0	cramers_v		0.3968377181301939	0.399712361828274	0.3949030872638676	0.3981388102486638
categorical::tsne__metric-correlation__perplexity-15::race	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	race	ok	358	2	4.0	permutation_chi_square_5000	3.6290958691185793	3.6290958691185793	3.0	0.2643471305738852	0.04169709962899252		0.44972067039106145	2.0	0.25	categorical	0.04169709962899252	cramers_v		0.30407345497192695	0.30651293054272577	0.3021672863638897	0.30481721245327476
categorical::tsne__metric-correlation__perplexity-15::ajcc_pathologic_tumor_stage	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	ajcc_pathologic_tumor_stage	ok	388	2	11.0	permutation_chi_square_5000	19.293925961445417	19.293925961445417	10.0	0.03419316136772645	0.1547536848493858		0.9278350515463918	4.0	0.18181818181818182	categorical	0.1547536848493858	cramers_v		0.05774061682508858	0.05835221217607494	0.05763990059131031	0.058194130404688287
categorical::tsne__metric-correlation__perplexity-15::histological_type	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	histological_type	ok	410	2	7.0	chi_square	43.990916392222644	43.990916392222644	6.0	7.422813333294557e-08	0.30471628347881136		3.226829268292683	2.0	0.14285714285714285	categorical	0.30471628347881136	cramers_v		7.2771053289843616e-06	6.7173279959855635e-06	6.815066895398052e-06	6.290830980367433e-06
categorical::tsne__metric-correlation__perplexity-15::histological_grade	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	histological_grade	ok	412	2	4.0	permutation_chi_square_5000	38.16969545278907	38.16969545278907	3.0	0.0001999600079984003	0.2924957809198045		4.150485436893204	2.0	0.25	categorical	0.2924957809198045	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0014890225838327478	0.0013879577025771317
categorical::tsne__metric-correlation__perplexity-15::tumor_status	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	tumor_status	ok	369	2	2.0	fisher_exact	1.0174441142266442	0.006328036253149989	1.0	1.0	0.0	1.0174441142266442	61.63414634146341	0.0	0.0	categorical	0.0	cramers_v		1.0	1.0	1.0	1.0
categorical::tsne__metric-correlation__perplexity-15::vital_status	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	vital_status	ok	411	2	2.0	fisher_exact	0.8090091726455363	1.0812046965461182	1.0	0.31110143077907254	0.013860466743543685	0.8090091726455363	73.11678832116789	0.0	0.0	categorical	0.013860466743543685	cramers_v		0.3533870621471018	0.3563525479833013	0.35142090928946784	0.3546856891973967
categorical::tsne__metric-correlation__perplexity-15::OS	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	OS	ok	412	2	2.0	fisher_exact	0.8023779499189335	1.168816251791943	1.0	0.3103867425101604	0.02012032821957244	0.8023779499189335	73.3252427184466	0.0	0.0	categorical	0.02012032821957244	cramers_v		0.3530649196053075	0.35607341022409905	0.3511307249340605	0.3544416349954735
categorical::tsne__metric-correlation__perplexity-15::DSS	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	DSS	ok	389	2	2.0	fisher_exact	1.1539051710909929	0.36982291952063645	1.0	0.5573609181876368	0.0	1.1539051710909929	44.42159383033419	0.0	0.0	categorical	0.0	cramers_v		0.6030100290563732	0.6062803656832423	0.6029560285612375	0.6070946616566875
categorical::tsne__metric-correlation__perplexity-15::DFI	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	DFI	ok	242	2	2.0	fisher_exact	0.9395604395604396	0.03393712749795505	1.0	0.8678155300592767	0.0	0.9395604395604396	19.545454545454547	0.0	0.0	categorical	0.0	cramers_v		0.8951396966228559	0.8974945837548743	0.8970545977836458	0.8995803737656924
categorical::tsne__metric-correlation__perplexity-15::PFI	t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	2	correlation	15.0				sensitivity	PFI	ok	412	2	2.0	fisher_exact	1.030149647887324	0.019762228751595386	1.0	0.9160478085148513	0.0	1.030149647887324	61.33495145631068	0.0	0.0	categorical	0.0	cramers_v		0.9319490687652432	0.93310533311855	0.9328895408623888	0.9341267948953629
categorical::tsne__metric-correlation__perplexity-30::center_code	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	center_code	ok	412	4	2.0	chi_square	11.200218332989541	11.200218332989541	3.0	0.010691051216611154	0.14118862436933985		39.75728155339806	0.0	0.0	categorical	0.14118862436933985	cramers_v		0.02552761208864296	0.025577325062525417	0.025625113384814862	0.02565852291986677
categorical::tsne__metric-correlation__perplexity-30::gender	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	gender	ok	412	4	2.0	chi_square	2.482338645261328	2.482338645261328	3.0	0.4784913429410501	0.0		29.97087378640777	0.0	0.0	categorical	0.0	cramers_v		0.5239096388619252	0.5273169901799328	0.5235418830753001	0.527682041748074
categorical::tsne__metric-correlation__perplexity-30::race	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	race	ok	358	4	4.0	permutation_chi_square_5000	7.745961149407482	7.745961149407482	9.0	0.5824835032993402	0.0		0.2122905027932961	8.0	0.5	categorical	0.0	cramers_v		0.6293588248049599	0.6326975984113522	0.6292462634233716	0.6334843630352271
categorical::tsne__metric-correlation__perplexity-30::ajcc_pathologic_tumor_stage	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	ajcc_pathologic_tumor_stage	ok	388	4	11.0	permutation_chi_square_5000	29.324559518457633	29.324559518457633	30.0	0.4993001399720056	0.0		0.41237113402061853	12.0	0.2727272727272727	categorical	0.0	cramers_v		0.5452357528494302	0.5486495724110991	0.5447556292439948	0.5489200296586646
categorical::tsne__metric-correlation__perplexity-30::histological_type	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	histological_type	ok	410	4	7.0	permutation_chi_square_5000	84.55487851845379	84.55487851845379	18.0	0.0001999600079984003	0.23339545344935883		1.4341463414634146	10.0	0.35714285714285715	categorical	0.23339545344935883	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0014890225838327478	0.0013879577025771317
