component	explained_variance	explained_variance_ratio	explained_variance_percent	cumulative_explained_variance_ratio	cumulative_explained_variance_percent
PC1	1410.014938717419	0.17166128537482417	17.166128537482418	0.17166128537482417	17.166128537482418
PC2	551.8208033627704	0.06718103886756434	6.718103886756434	0.2388423242423885	23.88423242423885
PC3	348.83230656826976	0.042468345888762714	4.246834588876271	0.2813106701311512	28.131067013115118
PC4	303.03382240931364	0.036892641374528114	3.6892641374528115	0.3182033115056793	31.82033115056793
PC5	272.856872024564	0.033218769595233025	3.3218769595233026	0.35142208110091233	35.14220811009123
PC6	205.18365734281662	0.024979941268859305	2.4979941268859305	0.37640202236977166	37.64020223697717
PC7	195.41228025505657	0.023790331779833064	2.3790331779833065	0.40019235414960475	40.01923541496048
PC8	170.10527948680792	0.02070934862031361	2.070934862031361	0.42090170276991834	42.090170276991834
PC9	135.99633009595357	0.016556778364182217	1.6556778364182216	0.4374584811341006	43.745848113410055
PC10	126.21273452231037	0.015365681344113258	1.5365681344113258	0.45282416247821383	45.28241624782138
PC11	111.69823466961113	0.013598623681906187	1.3598623681906186	0.46642278616012	46.642278616012
PC12	107.33997925523838	0.013068030915914968	1.3068030915914968	0.47949081707603497	47.9490817076035
PC13	97.93697970099295	0.011923269292801303	1.1923269292801302	0.49141408636883627	49.141408636883625
PC14	93.77421323707621	0.011416476192750064	1.1416476192750065	0.5028305625615863	50.28305625615863
PC15	76.66609450475596	0.009333660208823978	0.9333660208823977	0.5121642227704103	51.216422277041026
PC16	75.23228512705538	0.009159102086069303	0.9159102086069303	0.5213233248564796	52.13233248564796
PC17	68.51926204766544	0.008341829772907036	0.8341829772907036	0.5296651546293866	52.96651546293866
PC18	63.38565455275058	0.007716842308597961	0.7716842308597961	0.5373819969379845	53.73819969379845
PC19	56.16453060610895	0.006837711609699847	0.6837711609699847	0.5442197085476843	54.42197085476843
PC20	53.91551033976556	0.006563906205832486	0.6563906205832486	0.5507836147535168	55.07836147535168
PC21	52.06364559941655	0.0063384522245024805	0.633845222450248	0.5571220669780192	55.712206697801925
PC22	50.4011949312454	0.006136058327293078	0.6136058327293078	0.5632581253053123	56.32581253053123
PC23	46.26299705856255	0.005632256313247562	0.5632256313247562	0.5688903816185599	56.889038161855986
PC24	45.56058158196287	0.005546741230910952	0.5546741230910952	0.5744371228494708	57.44371228494708
PC25	43.04245457905805	0.005240173615074986	0.5240173615074986	0.5796772964645458	57.96772964645458
PC26	40.89130773979643	0.00497828374333112	0.497828374333112	0.5846555802078769	58.46555802078769
PC27	38.8469874152835	0.004729399391124907	0.4729399391124907	0.5893849795990018	58.93849795990018
PC28	37.64692190458412	0.004583298252446165	0.4583298252446165	0.593968277851448	59.3968277851448
PC29	36.84050086618598	0.004485121085521505	0.44851210855215046	0.5984533989369695	59.845339893696945
PC30	36.25471190160007	0.0044138046165551025	0.44138046165551026	0.6028672035535245	60.28672035535245
PC31	34.0833578269327	0.004149454629029216	0.4149454629029216	0.6070166581825538	60.70166581825538
PC32	33.53484681257201	0.004082676538115476	0.4082676538115476	0.6110993347206692	61.10993347206693
PC33	31.983997769384892	0.003893869502909184	0.38938695029091835	0.6149932042235784	61.49932042235784
PC34	31.76169189837567	0.003866805029678478	0.3866805029678478	0.6188600092532569	61.88600092532569
PC35	30.503511388388212	0.0037136287209406007	0.37136287209406005	0.6225736379741975	62.25736379741975
PC36	29.578778376646998	0.0036010477453316306	0.3601047745331631	0.6261746857195292	62.61746857195292
PC37	29.348262206202552	0.0035729837149220166	0.35729837149220167	0.6297476694344512	62.97476694344512
PC38	28.848105484489142	0.0035120924836445095	0.35120924836445094	0.6332597619180956	63.325976191809566
PC39	28.3682184933288	0.003453668976577149	0.3453668976577149	0.6367134308946728	63.67134308946728
PC40	27.81182214140262	0.003385930890740703	0.3385930890740703	0.6400993617854135	64.00993617854135
PC41	27.04936645185829	0.003293106254550974	0.3293106254550974	0.6433924680399644	64.33924680399645
PC42	26.799176533695658	0.0032626470574458103	0.32626470574458105	0.6466551150974102	64.66551150974102
PC43	26.363705150429944	0.0032096308975862967	0.3209630897586297	0.6498647459949966	64.98647459949966
PC44	25.456489926180534	0.0030991826127986745	0.30991826127986744	0.6529639286077952	65.29639286077952
PC45	25.1320208488755	0.003059680351265736	0.3059680351265736	0.6560236089590609	65.60236089590609
PC46	24.668075210960936	0.0030031976131318404	0.30031976131318405	0.6590268065721927	65.90268065721926
PC47	24.32943246304897	0.002961969787955528	0.2961969787955528	0.6619887763601482	66.19887763601481
PC48	23.746880397834524	0.0028910473930457026	0.28910473930457026	0.6648798237531939	66.48798237531939
PC49	23.473036484194008	0.002857708456757295	0.28577084567572947	0.6677375322099511	66.77375322099512
PC50	23.036317878343908	0.0028045404546540535	0.28045404546540537	0.6705420726646052	67.05420726646052
PC51	22.72322583257607	0.0027664232818913107	0.2766423281891311	0.6733084959464966	67.33084959464965
PC52	22.222407299274487	0.0027054514788235466	0.2705451478823547	0.6760139474253201	67.60139474253201
PC53	22.16188345992117	0.002698083046210584	0.26980830462105837	0.6787120304715306	67.87120304715306
PC54	21.801221723886812	0.0026541745346812737	0.2654174534681274	0.6813662050062119	68.13662050062119
PC55	21.415014378016732	0.0026071559906979294	0.2607155990697929	0.6839733609969099	68.39733609969099
PC56	20.667789265184297	0.002516185590448241	0.2516185590448241	0.6864895465873581	68.6489546587358
PC57	20.587205973611105	0.0025063750338141593	0.25063750338141594	0.6889959216211722	68.89959216211722
PC58	20.11034225835602	0.0024483195933634625	0.24483195933634624	0.6914442412145356	69.14442412145357
PC59	19.81866854896408	0.0024128099810257326	0.24128099810257325	0.6938570511955614	69.38570511955614
PC60	19.506215491903134	0.002374770601497482	0.2374770601497482	0.6962318217970589	69.62318217970589
PC61	19.39049987094277	0.0023606828839233185	0.23606828839233185	0.6985925046809822	69.85925046809822
PC62	18.94614951505047	0.002306585759733545	0.2306585759733545	0.7008990904407157	70.08990904407158
PC63	18.80050643706706	0.0022888545447754113	0.22888545447754113	0.7031879449854912	70.31879449854912
PC64	18.62513320060156	0.002267503852406581	0.22675038524065808	0.7054554488378978	70.54554488378977
PC65	18.36491208124869	0.002235823413708235	0.22358234137082347	0.707691272251606	70.7691272251606
PC66	18.15158200451138	0.0022098516922914764	0.22098516922914763	0.7099011239438975	70.99011239438975
PC67	18.02790930968373	0.002194795246308575	0.2194795246308575	0.7120959191902061	71.20959191902061
PC68	17.851521343098405	0.002173321016328976	0.21733210163289762	0.714269240206535	71.4269240206535
PC69	17.60604549498404	0.0021434357303942633	0.21434357303942633	0.7164126759369293	71.64126759369293
PC70	17.352135438699968	0.0021125236276679153	0.21125236276679152	0.7185251995645972	71.85251995645972
PC71	17.2051171399123	0.0020946249874120412	0.20946249874120412	0.7206198245520092	72.06198245520092
PC72	16.918439983416697	0.002059723676922098	0.2059723676922098	0.7226795482289313	72.26795482289313
PC73	16.65716721738884	0.0020279152062327205	0.20279152062327205	0.724707463435164	72.4707463435164
PC74	16.572490273848643	0.002017606270794814	0.2017606270794814	0.7267250697059588	72.67250697059589
PC75	16.446147419966067	0.0020022247481599298	0.20022247481599298	0.7287272944541188	72.87272944541188
PC76	16.229591709600786	0.0019758603242266796	0.19758603242266798	0.7307031547783455	73.07031547783454
PC77	16.069446558680216	0.001956363564512505	0.1956363564512505	0.7326595183428579	73.26595183428579
PC78	15.941474458480908	0.0019407836904210207	0.19407836904210207	0.734600302033279	73.4600302033279
PC79	15.681940699378336	0.0019091869339169848	0.19091869339169848	0.7365094889671959	73.6509488967196
PC80	15.520887426300677	0.0018895796155041164	0.18895796155041164	0.7383990685827	73.83990685827
PC81	15.461597845736499	0.00188236144686667	0.188236144686667	0.7402814300295667	74.02814300295667
PC82	15.401142032030585	0.0018750012959887097	0.18750012959887097	0.7421564313255554	74.21564313255554
PC83	15.142515268656599	0.0018435149610471148	0.1843514961047115	0.7439999462866025	74.39999462866025
PC84	15.064884040675112	0.0018340638013362469	0.18340638013362467	0.7458340100879387	74.58340100879387
PC85	14.888322255778023	0.0018125684099675023	0.18125684099675024	0.7476465784979062	74.76465784979062
PC86	14.71775468532532	0.0017918027800559457	0.17918027800559458	0.7494383812779621	74.94383812779621
PC87	14.494575707238289	0.0017646320110129537	0.17646320110129537	0.7512030132889751	75.12030132889751
PC88	14.365065825841867	0.0017488649208220702	0.17488649208220702	0.7529518782097971	75.29518782097972
PC89	14.329355100713792	0.0017445173434958835	0.17445173434958836	0.754696395553293	75.46963955532931
PC90	14.059398064689974	0.001711651612412226	0.1711651612412226	0.7564080471657053	75.64080471657053
PC91	13.863870437591215	0.0016878472378113489	0.16878472378113488	0.7580958944035167	75.80958944035167
PC92	13.797405617618429	0.0016797555246560875	0.16797555246560875	0.7597756499281727	75.97756499281726
PC93	13.639737480813913	0.0016605603272980113	0.16605603272980113	0.7614362102554707	76.14362102554708
