configuration_id	configuration_label	is_primary	n_neighbors	min_dist	metric	trustworthiness_k15	mean_jaccard_k15	trustworthiness_k30	mean_jaccard_k30
umap__metric-canberra__nn-5__mindist-0	metric=canberra, n_neighbors=5, min_dist=0	False	5	0.0	canberra	0.9065752364788978	0.2656640465686569	0.8756217521644878	0.2761368054248797
umap__metric-canberra__nn-5__mindist-0p1	metric=canberra, n_neighbors=5, min_dist=0.1	False	5	0.1	canberra	0.9141500486684803	0.2735554570291982	0.8885685020110642	0.2889808167967057
umap__metric-canberra__nn-5__mindist-0p5	metric=canberra, n_neighbors=5, min_dist=0.5	False	5	0.5	canberra	0.894336153609371	0.26137802728602566	0.8779877879177208	0.2783910875886033
umap__metric-canberra__nn-5__mindist-1	metric=canberra, n_neighbors=5, min_dist=1	False	5	1.0	canberra	0.8768080132444822	0.23965935970048396	0.8695302807542704	0.2719328692400058
umap__metric-canberra__nn-15__mindist-0	metric=canberra, n_neighbors=15, min_dist=0	False	15	0.0	canberra	0.9237872397068244	0.2983055612478331	0.9032351421873137	0.316577834025719
umap__metric-canberra__nn-15__mindist-0p1	metric=canberra, n_neighbors=15, min_dist=0.1	False	15	0.1	canberra	0.9203937571234848	0.28900612741341636	0.9024271844660194	0.3154054343148343
umap__metric-canberra__nn-15__mindist-0p5	metric=canberra, n_neighbors=15, min_dist=0.5	False	15	0.5	canberra	0.906000782023444	0.27427915254243673	0.8967505088367617	0.3109872732928796
umap__metric-canberra__nn-15__mindist-1	metric=canberra, n_neighbors=15, min_dist=1	False	15	1.0	canberra	0.8841290837846607	0.24288048571378112	0.8829079413855371	0.29612817476578646
umap__metric-canberra__nn-30__mindist-0	metric=canberra, n_neighbors=30, min_dist=0	False	30	0.0	canberra	0.921232768446186	0.2848554048383168	0.9030340357708933	0.31583802580011
umap__metric-canberra__nn-30__mindist-0p1	metric=canberra, n_neighbors=30, min_dist=0.1	False	30	0.1	canberra	0.919033535494713	0.28123723815420437	0.9024044468580158	0.31390696862034845
