method	method_key	configuration_id	configuration_label	is_primary	source_file	metric	perplexity	n_neighbors	min_dist	pre_pca_components	k	silhouette	calinski_harabasz	davies_bouldin	inertia	min_cluster_size	max_cluster_size	cluster_size_ratio
MDS	mds	mds__primary	primary	True	analysis/mds/mds_scores.tsv.gz						3	0.3546605667820452	286.33831812433965	0.8922436386531968	1189766.3197410158	133	142	0.9366197183098591
PCA	pca	pca__primary	primary	True	analysis/pca/pca_scores.tsv.gz						2	0.39062140792779665	352.64315929977755	0.9535875357374693	433477.88132193335	168	244	0.6885245901639344
t-SNE	tsne	tsne__primary	primary	True	analysis/tsne/tsne_scores.tsv.gz						3	0.3980867502579753	356.0976704817963	0.8639618208217336	19276.506622644712	120	148	0.8108108108108109
t-SNE	tsne	tsne__metric-correlation__perplexity-15	metric=correlation, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	correlation	15.0				2	0.45390749934741087	489.33970626284787	0.8485667232904184	110166.61575708585	190	222	0.8558558558558559
t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	correlation	30.0				4	0.46491367347330315	568.6266099089768	0.728364526032226	15589.757616057279	84	126	0.6666666666666666
t-SNE	tsne	tsne__metric-correlation__perplexity-5	metric=correlation, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	correlation	5.0				7	0.44695015134756777	469.3403680145939	0.7279370161945468	73887.0612800433	40	84	0.47619047619047616
t-SNE	tsne	tsne__metric-correlation__perplexity-50	metric=correlation, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	correlation	50.0				3	0.4526422943223297	495.1820066420019	0.756874297386326	8023.962689557924	115	169	0.6804733727810651
t-SNE	tsne	tsne__metric-cosine__perplexity-15	metric=cosine, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	15.0				2	0.4755141067430599	509.123757683814	0.8211487952913272	87805.10075557735	198	214	0.9252336448598131
t-SNE	tsne	tsne__metric-cosine__perplexity-30	metric=cosine, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	30.0				3	0.4765483862706335	520.4308649563417	0.7657436071793006	19269.18934284663	105	159	0.660377358490566
t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	5.0				3	0.46123902157759084	407.9634687199965	0.7286149305629666	191183.66162875528	74	183	0.40437158469945356
t-SNE	tsne	tsne__metric-cosine__perplexity-50	metric=cosine, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	50.0				3	0.49432360290137883	567.7473335513115	0.7139783036836332	6707.013183373456	96	170	0.5647058823529412
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				2	0.4315704476833474	435.90865319558776	0.8877098418320724	89276.13382207682	206	206	1.0
t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	30.0				3	0.3980867502579753	356.0976704817963	0.8639618208217336	19276.506622644712	120	148	0.8108108108108109
t-SNE	tsne	tsne__metric-euclidean__perplexity-5	metric=euclidean, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	5.0				5	0.41858752225494134	410.724547715289	0.7883739347298037	101241.75737537921	63	95	0.6631578947368421
t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	50.0				2	0.4304995587579204	420.2286189322359	0.9081084400919714	9889.764657095064	200	212	0.9433962264150944
