method	method_key	k	silhouette	calinski_harabasz	davies_bouldin	inertia	min_cluster_size	max_cluster_size	cluster_size_ratio
PCA	pca	2	0.39062140792779665	352.64315929977755	0.9535875357374693	433477.88132193335	168	244	0.6885245901639344
PCA	pca	3	0.3573855187328852	331.65985598757055	0.9905831920467477	307541.32627152844	131	149	0.8791946308724832
PCA	pca	4	0.36644572715788876	355.78500669419515	0.8555750364669585	222981.11806304654	91	118	0.7711864406779662
PCA	pca	5	0.35566413116476103	359.95129719864275	0.8596849240334006	177696.0555553498	63	106	0.5943396226415094
PCA	pca	6	0.3531732124070732	358.6502388452347	0.8813699497703035	148852.3383765352	48	89	0.5393258426966292
PCA	pca	7	0.3632575138471199	358.73818071880015	0.788817764528485	127689.70621748707	43	75	0.5733333333333334
PCA	pca	8	0.3453508101275114	352.54796652993235	0.8517624736146556	113429.55535532937	34	78	0.4358974358974359
PCA	pca	9	0.3427207821015983	353.47552652954425	0.8909849893250394	100577.04463714396	30	73	0.410958904109589
PCA	pca	10	0.35629290084913695	358.2806344301267	0.8514242395364222	89379.87785270414	29	67	0.43283582089552236
MDS	mds	2	0.32725364870421625	218.21764105329927	1.2318418985315016	1863719.488713738	204	208	0.9807692307692307
MDS	mds	3	0.3546605667820452	286.33831812433965	0.8922436386531968	1189766.3197410158	133	142	0.9366197183098591
MDS	mds	4	0.3399186407160989	307.50423271136816	0.8688951980279098	875685.093588203	98	110	0.8909090909090909
MDS	mds	5	0.3194224468531285	295.8531988492323	0.9182098997001547	730787.9299325615	63	96	0.65625
MDS	mds	6	0.3427317372734901	303.64308481514905	0.8240448624776439	602530.6719198539	60	74	0.8108108108108109
MDS	mds	7	0.3452441942754215	312.5457537320443	0.8015064870828296	507194.6991163526	49	78	0.6282051282051282
MDS	mds	8	0.3241160278978047	305.2955322259754	0.8574597965023907	454016.6413341675	43	73	0.589041095890411
MDS	mds	9	0.33753394436469397	302.0343533317587	0.8200619420728933	408201.36270797456	30	60	0.5
MDS	mds	10	0.33683455555850905	303.73331988690126	0.8324203589071557	366110.53970370244	29	54	0.5370370370370371
t-SNE	tsne	2	0.36730008306099154	284.96605021428627	1.0888339869121149	31175.00814304379	198	214	0.9252336448598131
t-SNE	tsne	3	0.3980867502579753	356.0976704817963	0.8639618208217336	19276.506622644712	120	148	0.8108108108108109
t-SNE	tsne	4	0.38640081563428047	371.6026478502687	0.8435325295421713	14157.981410239152	96	108	0.8888888888888888
t-SNE	tsne	5	0.37525668872730567	369.7287407015351	0.8332088642012367	11404.036831517167	74	98	0.7551020408163265
t-SNE	tsne	6	0.3905046354518771	392.75332157518926	0.7971923860510648	9053.296964536934	56	80	0.7
t-SNE	tsne	7	0.37593683267506467	386.2648445992527	0.8191404451890593	7860.664039703525	42	72	0.5833333333333334
t-SNE	tsne	8	0.38462000521605394	392.94888221107607	0.7734451893413246	6767.333323976796	34	63	0.5396825396825397
t-SNE	tsne	9	0.39022140248686155	401.4589915803179	0.7886876603583676	5891.453680156546	27	66	0.4090909090909091
t-SNE	tsne	10	0.3766500975519217	404.4498113415452	0.8103624245142755	5255.461541619846	26	51	0.5098039215686274
UMAP	umap	2	0.37753911975998705	309.6275934735562	1.0488268591101317	1145.224917497003	192	220	0.8727272727272727
UMAP	umap	3	0.3893769265918386	344.5755150057859	0.8717606710024866	748.6450792555504	113	166	0.6807228915662651
UMAP	umap	4	0.4060877905398906	402.0198503149267	0.7968689471648418	508.107199607837	92	117	0.7863247863247863
UMAP	umap	5	0.40744751890778313	415.82686241584383	0.8235187644707647	395.16120762503846	72	91	0.7912087912087912
UMAP	umap	6	0.42009557516058255	440.030713689729	0.7755258922169629	313.14160277329466	52	93	0.5591397849462365
UMAP	umap	7	0.4065949646216431	445.2820360489784	0.7849043059614432	264.5974838559707	50	71	0.704225352112676
UMAP	umap	8	0.4127499533609035	449.79115122222277	0.7642654555830278	228.59007255619682	21	69	0.30434782608695654
UMAP	umap	9	0.4345103321449337	474.3272630545646	0.74826196338767	192.98202598301066	19	61	0.3114754098360656
UMAP	umap	10	0.4254090209172238	476.70121542592983	0.7494639264379643	172.20827224874515	19	59	0.3220338983050847
