method	method_key	k	variable	cluster	n	mean	std	median	q1	q3	iqr	min	max
MDS	mds	3	age_at_initial_pathologic_diagnosis	1	138	64.9927536231884	11.415507685594946	67.0	57.0	72.0	15.0	30.0	90.0
MDS	mds	3	age_at_initial_pathologic_diagnosis	2	137	65.58394160583941	10.801444848727158	68.0	58.0	74.0	16.0	34.0	90.0
MDS	mds	3	age_at_initial_pathologic_diagnosis	3	132	66.42424242424242	9.721402540818335	67.0	58.75	73.25	14.5	35.0	90.0
PCA	pca	2	age_at_initial_pathologic_diagnosis	1	241	66.75103734439834	10.487107609000981	68.0	60.0	74.0	14.0	30.0	90.0
PCA	pca	2	age_at_initial_pathologic_diagnosis	2	166	64.06626506024097	10.769280408232273	65.0	57.0	72.0	15.0	34.0	90.0
t-SNE	tsne	3	age_at_initial_pathologic_diagnosis	1	119	66.97478991596638	9.798358721843742	68.0	60.0	73.0	13.0	45.0	90.0
t-SNE	tsne	3	age_at_initial_pathologic_diagnosis	2	142	62.90845070422535	10.274878080467655	63.0	55.25	71.0	15.75	34.0	82.0
t-SNE	tsne	3	age_at_initial_pathologic_diagnosis	3	146	67.25342465753425	11.256759896313408	69.0	60.25	74.0	13.75	30.0	90.0
UMAP	umap	9	age_at_initial_pathologic_diagnosis	1	47	65.97872340425532	10.13493605158206	68.0	58.5	74.0	15.5	41.0	82.0
UMAP	umap	9	age_at_initial_pathologic_diagnosis	2	60	66.31666666666666	10.813506411148737	68.5	60.75	73.0	12.25	39.0	90.0
UMAP	umap	9	age_at_initial_pathologic_diagnosis	3	59	59.47457627118644	10.357998628751615	58.0	52.5	68.0	15.5	34.0	82.0
UMAP	umap	9	age_at_initial_pathologic_diagnosis	4	54	68.61111111111111	10.130128175662236	69.0	62.0	75.75	13.75	49.0	90.0
UMAP	umap	9	age_at_initial_pathologic_diagnosis	5	27	68.07407407407408	8.655482592979949	68.0	63.5	72.0	8.5	52.0	84.0
UMAP	umap	9	age_at_initial_pathologic_diagnosis	6	33	64.39393939393939	10.157938379475045	65.0	57.0	73.0	16.0	45.0	86.0
UMAP	umap	9	age_at_initial_pathologic_diagnosis	7	19	60.526315789473685	13.086755055961614	62.0	56.5	69.5	13.0	30.0	80.0
UMAP	umap	9	age_at_initial_pathologic_diagnosis	8	57	67.40350877192982	10.127507888918194	70.0	61.0	74.0	13.0	43.0	90.0
UMAP	umap	9	age_at_initial_pathologic_diagnosis	9	51	68.09803921568627	9.932280507437925	69.0	59.0	75.5	16.5	51.0	90.0
