variable	present_in_file	n_total	n_available	percent_available	n_unique_nonmissing
center_code	True	412	412	100.0	2
gender	True	412	412	100.0	2
race	True	412	358	86.89320388349515	4
ajcc_pathologic_tumor_stage	True	412	388	94.1747572815534	11
histological_type	True	412	410	99.51456310679612	7
histological_grade	True	412	412	100.0	4
tumor_status	True	412	369	89.56310679611651	2
vital_status	True	412	411	99.75728155339806	2
OS	True	412	412	100.0	2
DSS	True	412	389	94.41747572815534	2
DFI	True	412	242	58.7378640776699	2
PFI	True	412	412	100.0	2
age_at_initial_pathologic_diagnosis	True	412	407	98.7864077669903	52
