component	direction	rank	gene_column	loading	absolute_loading	gene_symbol	entrez_id
PC1	positive	1	FBXL7|23194	0.02418433670767806	0.02418433670767806	FBXL7	23194
PC1	positive	2	ATP8B2|57198	0.02411297888309996	0.02411297888309996	ATP8B2	57198
PC1	positive	3	MAP3K12|7786	0.024058922088643388	0.024058922088643388	MAP3K12	7786
PC1	positive	4	MPDZ|8777	0.024042285747718876	0.024042285747718876	MPDZ	8777
PC1	positive	5	ZNF135|7694	0.024035471609503832	0.024035471609503832	ZNF135	7694
PC1	positive	6	SYNE1|23345	0.02401161746980882	0.02401161746980882	SYNE1	23345
PC1	positive	7	RECK|8434	0.02400524792765059	0.02400524792765059	RECK	8434
PC1	positive	8	BOC|91653	0.023975159668256585	0.023975159668256585	BOC	91653
PC1	positive	9	CLIP3|25999	0.023942936545250912	0.023942936545250912	CLIP3	25999
PC1	positive	10	ZCCHC24|219654	0.02391143793198756	0.02391143793198756	ZCCHC24	219654
PC1	positive	11	RNF150|57484	0.02387114254882507	0.02387114254882507	RNF150	57484
PC1	positive	12	JAM2|58494	0.02370442800729239	0.02370442800729239	JAM2	58494
PC1	positive	13	CNRIP1|25927	0.02370313029069319	0.02370313029069319	CNRIP1	25927
PC1	positive	14	JAM3|83700	0.02366890558396341	0.02366890558396341	JAM3	83700
PC1	positive	15	RGAG4|340526	0.02364858125444623	0.02364858125444623	RGAG4	340526
PC1	positive	16	AKT3|10000	0.02359504032857578	0.02359504032857578	AKT3	10000
PC1	positive	17	MAPK10|5602	0.023591935197462156	0.023591935197462156	MAPK10	5602
PC1	positive	18	NAP1L3|4675	0.02358634868692822	0.02358634868692822	NAP1L3	4675
PC1	positive	19	STON1|11037	0.023554797375286957	0.023554797375286957	STON1	11037
PC1	positive	20	FERMT2|10979	0.0235359951630855	0.0235359951630855	FERMT2	10979
PC1	negative	1	ZWINT|11130	-0.018419939473553398	0.018419939473553398	ZWINT	11130
PC1	negative	2	UBE2T|29089	-0.018177306607994353	0.018177306607994353	UBE2T	29089
PC1	negative	3	CDCA8|55143	-0.01814493212100074	0.01814493212100074	CDCA8	55143
PC1	negative	4	NCAPG|64151	-0.01811448284569743	0.01811448284569743	NCAPG	64151
PC1	negative	5	MELK|9833	-0.01782288901297524	0.01782288901297524	MELK	9833
PC1	negative	6	RRM2|6241	-0.017688526265088062	0.017688526265088062	RRM2	6241
PC1	negative	7	MAD2L1|4085	-0.017685771099482564	0.017685771099482564	MAD2L1	4085
PC1	negative	8	CCNB1|891	-0.017636526307141298	0.017636526307141298	CCNB1	891
PC1	negative	9	SLC25A10|1468	-0.01761048302187102	0.01761048302187102	SLC25A10	1468
PC1	negative	10	CCNA2|890	-0.017477818828065157	0.017477818828065157	CCNA2	890
PC1	negative	11	CDK1|983	-0.017442754499317682	0.017442754499317682	CDK1	983
PC1	negative	12	POC1A|25886	-0.01734306785748013	0.01734306785748013	POC1A	25886
PC1	negative	13	ASF1B|55723	-0.017149161938541782	0.017149161938541782	ASF1B	55723
PC1	negative	14	CDC25A|993	-0.01713458662279602	0.01713458662279602	CDC25A	993
PC1	negative	15	HJURP|55355	-0.017125626376785743	0.017125626376785743	HJURP	55355
PC1	negative	16	MAP7|9053	-0.017000435571676555	0.017000435571676555	MAP7	9053
PC1	negative	17	PBK|55872	-0.016947712928536383	0.016947712928536383	PBK	55872
PC1	negative	18	SKA3|221150	-0.01690805836020323	0.01690805836020323	SKA3	221150
PC1	negative	19	PLK4|10733	-0.016838814268306485	0.016838814268306485	PLK4	10733
PC1	negative	20	CDC45|8318	-0.016813997253273368	0.016813997253273368	CDC45	8318
PC2	positive	1	SLAMF8|56833	0.030876193424739858	0.030876193424739858	SLAMF8	56833
PC2	positive	2	HAVCR2|84868	0.030800292148856902	0.030800292148856902	HAVCR2	84868
PC2	positive	3	C1QB|713	0.03061693887995372	0.03061693887995372	C1QB	713
PC2	positive	4	C1QC|714	0.030443878130162017	0.030443878130162017	C1QC	714
PC2	positive	5	ITGB2|3689	0.03020470846345452	0.03020470846345452	ITGB2	3689
PC2	positive	6	C1QA|712	0.0301914632141862	0.0301914632141862	C1QA	712
PC2	positive	7	HLA-DRA|3122	0.029946919009536905	0.029946919009536905	HLA-DRA	3122
PC2	positive	8	DOK2|9046	0.02986489938811453	0.02986489938811453	DOK2	9046
PC2	positive	9	CD74|972	0.02974444795280161	0.02974444795280161	CD74	972
PC2	positive	10	CD300LF|146722	0.02973906031660185	0.02973906031660185	CD300LF	146722
PC2	positive	11	LAPTM5|7805	0.02973606907192695	0.02973606907192695	LAPTM5	7805
PC2	positive	12	TNFSF13B|10673	0.029637843532097415	0.029637843532097415	TNFSF13B	10673
PC2	positive	13	IL2RB|3560	0.02943439320097295	0.02943439320097295	IL2RB	3560
PC2	positive	14	CYBB|1536	0.029292756146223044	0.029292756146223044	CYBB	1536
PC2	positive	15	PLEK|5341	0.02927269099042662	0.02927269099042662	PLEK	5341
PC2	positive	16	CCL4|6351	0.029232589206140466	0.029232589206140466	CCL4	6351
PC2	positive	17	LILRB4|11006	0.02922983383951825	0.02922983383951825	LILRB4	11006
PC2	positive	18	CD53|963	0.029195494969823918	0.029195494969823918	CD53	963
PC2	positive	19	NKG7|4818	0.02914762528369388	0.02914762528369388	NKG7	4818
PC2	positive	20	SIGLEC7|27036	0.02903588210763858	0.02903588210763858	SIGLEC7	27036
PC2	negative	1	PRPF40B|25766	-0.026757181466118957	0.026757181466118957	PRPF40B	25766
PC2	negative	2	NINL|22981	-0.026566659229354313	0.026566659229354313	NINL	22981
PC2	negative	3	LOC100130015|100130015	-0.026173196581876206	0.026173196581876206	LOC100130015	100130015
PC2	negative	4	TTLL2|83887	-0.0249273510482654	0.0249273510482654	TTLL2	83887
PC2	negative	5	DSCR6|53820	-0.024833474388537235	0.024833474388537235	DSCR6	53820
PC2	negative	6	C8orf45|157777	-0.02443868774063847	0.02443868774063847	C8orf45	157777
PC2	negative	7	C20orf165|128497	-0.02435782064193034	0.02435782064193034	C20orf165	128497
PC2	negative	8	DNM1P35|100128285	-0.024338970705873368	0.024338970705873368	DNM1P35	100128285
PC2	negative	9	ESPNP|284729	-0.024161733978868224	0.024161733978868224	ESPNP	284729
PC2	negative	10	ATP6V1B1|525	-0.024056362484061115	0.024056362484061115	ATP6V1B1	525
PC2	negative	11	INHA|3623	-0.02401083371696494	0.02401083371696494	INHA	3623
PC2	negative	12	PNMT|5409	-0.023969639354489106	0.023969639354489106	PNMT	5409
PC2	negative	13	F7|2155	-0.023943896536168484	0.023943896536168484	F7	2155
PC2	negative	14	KCNQ1OT1|10984	-0.023931867296055728	0.023931867296055728	KCNQ1OT1	10984
PC2	negative	15	RSPO4|343637	-0.02393070749924465	0.02393070749924465	RSPO4	343637
PC2	negative	16	NKPD1|284353	-0.023907065407358926	0.023907065407358926	NKPD1	284353
PC2	negative	17	KCNMB3|27094	-0.02370675099347273	0.02370675099347273	KCNMB3	27094
PC2	negative	18	LOC100132287|100132287	-0.023610702182468173	0.023610702182468173	LOC100132287	100132287
PC2	negative	19	L3MBTL|26013	-0.023522377094703624	0.023522377094703624	L3MBTL	26013
PC2	negative	20	TTC25|83538	-0.0234727124851586	0.0234727124851586	TTC25	83538
PC3	positive	1	CCR6|1235	0.03204427591292079	0.03204427591292079	CCR6	1235
PC3	positive	2	LOC285740|285740	0.03154865485472009	0.03154865485472009	LOC285740	285740
PC3	positive	3	SLFN14|342618	0.030906333709763662	0.030906333709763662	SLFN14	342618
PC3	positive	4	NLRP9|338321	0.030803073887020766	0.030803073887020766	NLRP9	338321
PC3	positive	5	PARP15|165631	0.0306090992009232	0.0306090992009232	PARP15	165631
PC3	positive	6	GVIN1|387751	0.03038014185185161	0.03038014185185161	GVIN1	387751
PC3	positive	7	FAM13AOS|285512	0.030343754554720798	0.030343754554720798	FAM13AOS	285512
PC3	positive	8	WDR52|55779	0.03030043112461575	0.03030043112461575	WDR52	55779
PC3	positive	9	BEND4|389206	0.02985817905441971	0.02985817905441971	BEND4	389206
