metric	perplexity	kl_divergence	n_iter	effective_learning_rate	trustworthiness_k15	mean_jaccard_k15	trustworthiness_k30	mean_jaccard_k30
correlation	5.0	1.1469224691390991	999	50.0	0.9061883844560361	0.2851520727922493	0.8766286087674451	0.29552758471223517
correlation	15.0	1.1450474262237549	999	50.0	0.9077940283358708	0.32198022737143767	0.8794511627085568	0.3295096136181025
correlation	30.0	1.0637102127075195	999	50.0	0.9183388657332302	0.33887946052463347	0.8885605548859367	0.3540931068063538
correlation	50.0	0.872165322303772	999	50.0	0.9247427226063011	0.3220797876617492	0.9019428513401944	0.35756521678388103
cosine	5.0	1.1626572608947754	999	50.0	0.9109321053901381	0.2815025219319332	0.8769754124778695	0.28887935750480553
cosine	15.0	1.103460431098938	999	50.0	0.9202581509305247	0.313705331924692	0.8924731894903686	0.3244681857850033
cosine	30.0	0.9478875994682312	999	50.0	0.9268250680110814	0.32597164135702095	0.9055212651823203	0.35003319501486735
cosine	50.0	0.8230522871017456	999	50.0	0.925205281154067	0.31999750320541487	0.9064643240307819	0.35411194608554697
euclidean	5.0	1.3124457597732544	999	50.0	0.8616155439638605	0.23064636718338702	0.8269948387837367	0.24580992942513366
euclidean	15.0	1.2571687698364258	999	50.0	0.8737107012420862	0.25246546752761706	0.8369013717620983	0.25627213352046946
euclidean	30.0	1.0190091133117676	999	50.0	0.8719207826889959	0.2505323200655797	0.8492196364631761	0.2745424261777058
euclidean	50.0	0.8741419911384583	999	50.0	0.8842093659786524	0.26305919354190616	0.866503971355029	0.28842863835214627
