sweep	label	n_neighbors	min_dist	metric	trustworthiness_k15	mean_jaccard_k15	trustworthiness_k30	mean_jaccard_k30
primary	primary	15	0.1	euclidean	0.8588788778795517	0.2331618047671985	0.8415349872183737	0.26375305414948874
n_neighbors	n_neighbors=15	15	0.1	euclidean	0.8588788778795517	0.2331618047671985	0.8415349872183737	0.26375305414948874
min_dist	min_dist=0.1	15	0.1	euclidean	0.8588788778795517	0.2331618047671985	0.8415349872183737	0.26375305414948874
metric	metric=euclidean	15	0.1	euclidean	0.8588788778795517	0.2331618047671985	0.8415349872183737	0.26375305414948874
n_neighbors	n_neighbors=5	5	0.1	euclidean	0.8536892371943661	0.22775842265532598	0.8301710397930215	0.25588017983550126
n_neighbors	n_neighbors=30	30	0.1	euclidean	0.8531634512192078	0.22789387510870146	0.8454628538126333	0.275540586037114
n_neighbors	n_neighbors=50	50	0.1	euclidean	0.8538369065149208	0.21790916172764258	0.8445390005165632	0.2690464124181944
min_dist	min_dist=0	15	0.0	euclidean	0.8672386253026181	0.24337135306800067	0.8485798928904136	0.2715879157020674
min_dist	min_dist=0.5	15	0.5	euclidean	0.8359984525919085	0.21389309541402338	0.8351459401228272	0.25821967996359596
min_dist	min_dist=1	15	1.0	euclidean	0.8279194848628547	0.1983105773091015	0.830448747665532	0.2548055712076901
metric	metric=cosine	15	0.1	cosine	0.9214132993901881	0.2950731235079223	0.8996648962237911	0.3252846844692553
metric	metric=canberra	15	0.1	canberra	0.9203937571234848	0.28900612741341636	0.9024271844660194	0.3154054343148343
