gene_column	gene_symbol	entrez_id	annotated	complete_in_primary_tumors	total_expression	passes_total_expression	log2_variance	retained_for_expression	retained_for_dimred
?|100130426	?	100130426	False	False		False		False	False
?|100133144	?	100133144	False	False		False		False	False
?|100134869	?	100134869	False	False		False		False	False
?|10357	?	10357	False	False		False		False	False
?|10431	?	10431	False	False		False		False	False
?|136542	?	136542	False	False		False		False	False
?|155060	?	155060	False	False		False		False	False
?|26823	?	26823	False	False		False		False	False
?|280660	?	280660	False	False		False		False	False
?|317712	?	317712	False	False		False		False	False
?|340602	?	340602	False	False		False		False	False
?|388795	?	388795	False	False		False		False	False
?|390284	?	390284	False	False		False		False	False
?|391343	?	391343	False	False		False		False	False
?|391714	?	391714	False	False		False		False	False
?|404770	?	404770	False	False		False		False	False
?|441362	?	441362	False	False		False		False	False
?|442388	?	442388	False	False		False		False	False
?|553137	?	553137	False	False		False		False	False
?|57714	?	57714	False	False		False		False	False
?|645851	?	645851	False	False		False		False	False
?|652919	?	652919	False	False		False		False	False
?|653553	?	653553	False	False		False		False	False
?|728045	?	728045	False	False		False		False	False
?|728603	?	728603	False	False		False		False	False
?|728788	?	728788	False	False		False		False	False
?|729884	?	729884	False	False		False		False	False
?|8225	?	8225	False	False		False		False	False
?|90288	?	90288	False	False		False		False	False
A1BG|1	A1BG	1	True	True	18911.67221477939	True	1.1118536199000846	True	True
A1CF|29974	A1CF	29974	True	False		False		False	False
A2BP1|54715	A2BP1	54715	True	False		False		False	False
A2LD1|87769	A2LD1	87769	True	True	53875.62376184396	True	0.8407602155285493	True	True
A2M|2	A2M	2	True	True	6583775.602676547	True	1.3713966331703866	True	True
A2ML1|144568	A2ML1	144568	True	True	241898.890002048	True	9.265228286239475	True	True
A4GALT|53947	A4GALT	53947	True	True	130222.65162455871	True	1.417276863130575	True	True
A4GNT|51146	A4GNT	51146	True	True	49267.07769863722	True	9.85849282063297	True	True
AAA1|404744	AAA1	404744	True	False		False		False	False
AAAS|8086	AAAS	8086	True	True	281112.6944989171	True	0.2212923866398492	True	False
AACS|65985	AACS	65985	True	True	388456.6629798045	True	0.4681317953943871	True	False
AACSL|729522	AACSL	729522	True	False		False		False	False
AADAC|13	AADAC	13	True	False		False		False	False
AADACL2|344752	AADACL2	344752	True	False		False		False	False
AADACL3|126767	AADACL3	126767	True	False		False		False	False
AADACL4|343066	AADACL4	343066	True	False		False		False	False
AADAT|51166	AADAT	51166	True	True	36894.72984255153	True	2.134428905169547	True	True
AAGAB|79719	AAGAB	79719	True	True	550205.9906883119	True	0.2264961102674621	True	False
AAK1|22848	AAK1	22848	True	True	374183.70488535124	True	0.31191418737187554	True	False
AAMP|14	AAMP	14	True	True	1111295.6882393481	True	0.23540253277408316	True	False
AANAT|15	AANAT	15	True	True	329.5979654417374	True	0.5453747142860029	True	False
AARS|16	AARS	16	True	True	1274369.9522776809	True	0.32646049368929875	True	False
AARS2|57505	AARS2	57505	True	True	240426.08932202664	True	0.40961550922497586	True	False
AARSD1|80755	AARSD1	80755	True	True	205812.03890124208	True	0.2590546577417905	True	False
AASDH|132949	AASDH	132949	True	True	92323.31863066423	True	0.24247075625713307	True	False
AASDHPPT|60496	AASDHPPT	60496	True	True	322496.89252826554	True	0.22385156059805114	True	False
AASS|10157	AASS	10157	True	True	86905.46284491016	True	1.4390695565292426	True	True
AATF|26574	AATF	26574	True	True	745254.7617272721	True	0.3533788193078975	True	False
AATK|9625	AATK	9625	True	True	147359.29029380757	True	2.5593457243922537	True	True
ABAT|18	ABAT	18	True	True	194255.2275054914	True	1.7775418961530174	True	True
ABCA10|10349	ABCA10	10349	True	True	17336.19082355871	True	2.7373520622974996	True	True
ABCA1|19	ABCA1	19	True	True	436796.27507428324	True	0.9840709905742768	True	True
ABCA11P|79963	ABCA11P	79963	True	True	43177.59297496122	True	0.657939029178674	True	False
ABCA12|26154	ABCA12	26154	True	True	56388.6424131932	True	8.349948764980011	True	True
ABCA13|154664	ABCA13	154664	True	True	30321.945791398935	True	5.1868413197800045	True	True
ABCA17P|650655	ABCA17P	650655	True	True	4693.607545712372	True	2.7553702278561345	True	True
ABCA2|20	ABCA2	20	True	True	566097.2652324147	True	0.7274516016757013	True	True
ABCA3|21	ABCA3	21	True	True	157854.14696109493	True	2.9399330876591763	True	True
ABCA4|24	ABCA4	24	True	False		False		False	False
ABCA5|23461	ABCA5	23461	True	True	158096.70605960148	True	1.0719519292281467	True	True
ABCA6|23460	ABCA6	23460	True	True	54097.93401301256	True	3.78151219701777	True	True
ABCA7|10347	ABCA7	10347	True	True	194347.0287510918	True	0.8083950701895755	True	True
ABCA8|10351	ABCA8	10351	True	True	77608.9277494169	True	7.386522768565804	True	True
ABCA9|10350	ABCA9	10350	True	True	32048.679177319358	True	4.160526525550614	True	True
ABCB10|23456	ABCB10	23456	True	True	262881.09512194776	True	0.31743268919590284	True	False
ABCB11|8647	ABCB11	8647	True	True	2071.2685797437152	True	1.880162656790548	True	True
ABCB1|5243	ABCB1	5243	True	True	89567.43084023755	True	2.5306042582890624	True	True
ABCB4|5244	ABCB4	5244	True	True	17916.64416675899	True	2.151446413789362	True	True
ABCB5|340273	ABCB5	340273	True	True	2046.266040648914	True	2.255446311480501	True	True
ABCB6|10058	ABCB6	10058	True	True	253542.7882134683	True	0.909326241519823	True	True
ABCB7|22	ABCB7	22	True	True	207361.67904687533	True	0.2380983139371929	True	False
ABCB8|11194	ABCB8	11194	True	True	280198.53909062216	True	0.2953009239864972	True	False
ABCB9|23457	ABCB9	23457	True	True	51101.50130342486	True	0.7397441341883653	True	True
ABCC10|89845	ABCC10	89845	True	True	280150.9336556888	True	0.36579335212818476	True	False
ABCC11|85320	ABCC11	85320	True	True	2194.2160237761163	True	1.6990646709595696	True	True
ABCC12|94160	ABCC12	94160	True	False		False		False	False
ABCC13|150000	ABCC13	150000	True	True	2753.801181536178	True	2.9577746614643923	True	True
ABCC1|4363	ABCC1	4363	True	True	804973.4192686216	True	0.45557261709732544	True	False
ABCC2|1244	ABCC2	1244	True	True	66299.49152078066	True	6.70047560416033	True	True
ABCC3|8714	ABCC3	8714	True	True	1457731.222655422	True	1.8890982022069462	True	True
ABCC4|10257	ABCC4	10257	True	True	249955.0939783839	True	1.274669443638803	True	True
ABCC5|10057	ABCC5	10057	True	True	328193.9318124653	True	0.6243055553800188	True	False
ABCC6|368	ABCC6	368	True	True	73902.8099870288	True	2.928600406604846	True	True
ABCC6P1|653190	ABCC6P1	653190	True	True	16400.806233776377	True	3.664402640764746	True	True
ABCC6P2|730013	ABCC6P2	730013	True	True	20999.723902915895	True	2.3073388918004296	True	True
ABCC8|6833	ABCC8	6833	True	False		False		False	False
ABCC9|10060	ABCC9	10060	True	True	222371.6047739712	True	3.068441393742712	True	True
ABCD1|215	ABCD1	215	True	True	253162.384120611	True	0.7571450256909057	True	True
ABCD2|225	ABCD2	225	True	True	17052.130160785877	True	2.6056550563969543	True	True
ABCD3|5825	ABCD3	5825	True	True	695252.9095796833	True	0.3369427409077614	True	False
ABCD4|5826	ABCD4	5826	True	True	251321.03898486853	True	0.18461558957081556	True	False
ABCE1|6059	ABCE1	6059	True	True	817034.2959477159	True	0.32704330660383085	True	False
ABCF1|23	ABCF1	23	True	True	911160.3702410883	True	0.21352595174286323	True	False
ABCF2|10061	ABCF2	10061	True	True	559916.3622081293	True	0.21627911082321905	True	False
ABCF3|55324	ABCF3	55324	True	True	402211.80420520727	True	0.18196616448939004	True	False
ABCG1|9619	ABCG1	9619	True	True	226085.87149146752	True	0.9154522092672562	True	True
ABCG2|9429	ABCG2	9429	True	True	71229.08385250028	True	2.9437740885598638	True	True
ABCG4|64137	ABCG4	64137	True	False		False		False	False
ABCG5|64240	ABCG5	64240	True	True	13417.972691934656	True	3.8155296228097404	True	True
